SEGID,LANGPAIR,ANNOTYPE,NUMANNOT,ANNOTATOR_01,ANNOTATOR_02,ANNOTATOR_03,ANNOTATOR_04,ANNOTATOR_05,ANNOTATOR_06,ANNOTATOR_07,ANNOTATOR_08,ANNOTATOR_09,ANNOTATOR_10
85,fa-en,ad,7,42.0,75.0,62.0,85.0,85.0,nan,77.0,nan,36.0,nan
86,fa-en,ad,7,44.0,89.0,84.0,77.0,93.0,nan,80.0,nan,63.0,nan
87,fa-en,ad,7,41.0,24.0,69.0,55.0,91.0,nan,38.0,nan,38.0,nan
88,fa-en,ad,7,52.0,75.0,85.0,55.0,91.0,nan,80.0,nan,47.0,nan
89,fa-en,ad,7,46.0,25.0,56.0,56.0,77.0,nan,37.0,nan,27.0,nan
90,fa-en,ad,7,100.0,99.0,95.0,99.0,89.0,nan,90.0,nan,65.0,nan
91,fa-en,ad,7,81.0,99.0,100.0,99.0,88.0,nan,100.0,nan,76.0,nan
92,fa-en,ad,7,41.0,75.0,73.0,98.0,95.0,nan,77.0,nan,46.0,nan
93,fa-en,ad,7,52.0,99.0,88.0,100.0,97.0,nan,100.0,nan,57.0,nan
94,fa-en,ad,7,36.0,99.0,75.0,99.0,92.0,nan,95.0,nan,64.0,nan
95,fa-en,ad,7,31.0,61.0,76.0,95.0,92.0,nan,71.0,nan,51.0,nan
96,fa-en,ad,7,36.0,75.0,80.0,89.0,90.0,nan,63.0,nan,44.0,nan
97,fa-en,ad,7,72.0,100.0,80.0,90.0,93.0,nan,79.0,nan,50.0,nan
98,fa-en,ad,7,28.0,53.0,75.0,93.0,90.0,nan,59.0,nan,44.0,nan
99,fa-en,ad,7,76.0,91.0,89.0,94.0,87.0,nan,87.0,nan,51.0,nan
100,fa-en,ad,7,73.0,99.0,100.0,99.0,86.0,nan,99.0,nan,63.0,nan
101,fa-en,ad,7,42.0,99.0,70.0,95.0,93.0,nan,96.0,nan,59.0,nan
102,fa-en,ad,7,63.0,99.0,89.0,99.0,88.0,nan,98.0,nan,73.0,nan
103,fa-en,ad,7,52.0,92.0,87.0,78.0,91.0,nan,79.0,nan,64.0,nan
104,fa-en,ad,7,60.0,100.0,74.0,98.0,87.0,nan,42.0,nan,57.0,nan
105,fa-en,ad,7,57.0,99.0,93.0,97.0,89.0,nan,100.0,nan,75.0,nan
106,fa-en,ad,7,23.0,75.0,85.0,89.0,75.0,nan,90.0,nan,52.0,nan
107,fa-en,ad,7,43.0,25.0,39.0,80.0,89.0,nan,42.0,nan,25.0,nan
108,fa-en,ad,7,79.0,99.0,89.0,100.0,87.0,nan,95.0,nan,54.0,nan
109,fa-en,ad,7,44.0,99.0,100.0,100.0,87.0,nan,91.0,nan,60.0,nan
110,fa-en,ad,7,41.0,64.0,80.0,78.0,86.0,nan,64.0,nan,41.0,nan
111,fa-en,ad,7,42.0,25.0,55.0,87.0,88.0,nan,41.0,nan,54.0,nan
112,fa-en,ad,7,100.0,99.0,100.0,99.0,87.0,nan,100.0,nan,64.0,nan
113,fa-en,ad,7,88.0,75.0,80.0,59.0,88.0,nan,85.0,nan,74.0,nan
114,fa-en,ad,7,61.0,99.0,91.0,98.0,90.0,nan,94.0,nan,75.0,nan
115,fa-en,ad,5,27.0,86.0,78.0,nan,nan,nan,85.0,nan,56.0,nan
116,fa-en,ad,5,46.0,25.0,65.0,nan,nan,nan,41.0,nan,29.0,nan
117,fa-en,ad,5,0.0,0.0,39.0,nan,nan,nan,39.0,nan,37.0,nan
118,fa-en,ad,5,40.0,38.0,75.0,nan,nan,nan,63.0,nan,38.0,nan
119,fa-en,ad,5,100.0,100.0,75.0,nan,nan,nan,100.0,nan,75.0,nan
120,fa-en,ad,5,34.0,25.0,60.0,nan,nan,nan,42.0,nan,26.0,nan
121,fa-en,ad,5,44.0,25.0,60.0,nan,nan,nan,38.0,nan,29.0,nan
122,fa-en,ad,5,21.0,75.0,62.0,nan,nan,nan,47.0,nan,63.0,nan
123,fa-en,ad,5,100.0,100.0,93.0,nan,nan,nan,100.0,nan,82.0,nan
124,fa-en,ad,5,100.0,100.0,87.0,nan,nan,nan,100.0,nan,77.0,nan
125,fa-en,ad,5,31.0,52.0,82.0,nan,nan,nan,60.0,nan,33.0,nan
126,fa-en,ad,5,53.0,75.0,76.0,nan,nan,nan,81.0,nan,52.0,nan
127,fa-en,ad,5,45.0,100.0,89.0,nan,nan,nan,100.0,nan,70.0,nan
128,fa-en,ad,5,53.0,75.0,78.0,nan,nan,nan,44.0,nan,32.0,nan
129,fa-en,ad,5,30.0,75.0,64.0,nan,nan,nan,63.0,nan,25.0,nan
130,fa-en,ad,5,54.0,100.0,85.0,nan,nan,nan,100.0,nan,51.0,nan
131,fa-en,ad,5,64.0,100.0,89.0,nan,nan,nan,100.0,nan,74.0,nan
132,fa-en,ad,5,60.0,98.0,82.0,nan,nan,nan,100.0,nan,61.0,nan
133,fa-en,ad,5,46.0,100.0,79.0,nan,nan,nan,100.0,nan,51.0,nan
134,fa-en,ad,5,43.0,100.0,75.0,nan,nan,nan,92.0,nan,55.0,nan
135,fa-en,ad,5,45.0,92.0,66.0,nan,nan,nan,73.0,nan,43.0,nan
136,fa-en,ad,5,100.0,100.0,94.0,nan,nan,nan,100.0,nan,77.0,nan
137,fa-en,ad,5,56.0,100.0,85.0,nan,nan,nan,95.0,nan,55.0,nan
138,fa-en,ad,5,36.0,75.0,69.0,nan,nan,nan,61.0,nan,29.0,nan
139,fa-en,ad,5,39.0,25.0,47.0,nan,nan,nan,40.0,nan,32.0,nan
140,fa-en,ad,5,44.0,75.0,91.0,nan,nan,nan,100.0,nan,53.0,nan
141,fa-en,ad,5,42.0,89.0,76.0,nan,nan,nan,60.0,nan,45.0,nan
142,fa-en,ad,5,53.0,100.0,100.0,nan,nan,nan,100.0,nan,71.0,nan
143,fa-en,ad,5,41.0,92.0,69.0,nan,nan,nan,79.0,nan,54.0,nan
144,fa-en,ad,5,46.0,91.0,55.0,nan,nan,nan,70.0,nan,39.0,nan
145,fa-en,ad,5,42.0,90.0,55.0,nan,nan,nan,71.0,nan,31.0,nan
146,fa-en,ad,5,71.0,98.0,80.0,nan,nan,nan,84.0,nan,78.0,nan
147,fa-en,ad,5,40.0,95.0,64.0,nan,nan,nan,58.0,nan,51.0,nan
148,fa-en,ad,5,40.0,25.0,50.0,nan,nan,nan,60.0,nan,29.0,nan
149,fa-en,ad,5,38.0,1.0,45.0,nan,nan,nan,33.0,nan,24.0,nan
150,fa-en,ad,5,76.0,94.0,62.0,nan,nan,nan,34.0,nan,45.0,nan
151,fa-en,ad,5,50.0,1.0,66.0,nan,nan,nan,36.0,nan,39.0,nan
152,fa-en,ad,5,46.0,24.0,55.0,nan,nan,nan,41.0,nan,53.0,nan
153,fa-en,ad,5,42.0,89.0,51.0,nan,nan,nan,43.0,nan,53.0,nan
154,fa-en,ad,5,50.0,93.0,42.0,nan,nan,nan,72.0,nan,45.0,nan
155,fa-en,ad,5,100.0,99.0,84.0,nan,nan,nan,100.0,nan,64.0,nan
156,fa-en,ad,5,100.0,99.0,85.0,nan,nan,nan,92.0,nan,74.0,nan
157,fa-en,ad,5,46.0,100.0,80.0,nan,nan,nan,83.0,nan,65.0,nan
158,fa-en,ad,5,33.0,94.0,43.0,nan,nan,nan,71.0,nan,51.0,nan
159,fa-en,ad,5,45.0,90.0,66.0,nan,nan,nan,44.0,nan,31.0,nan
160,fa-en,ad,3,28.0,90.0,nan,nan,nan,nan,nan,nan,71.0,nan
161,fa-en,ad,3,27.0,48.0,nan,nan,nan,nan,nan,nan,29.0,nan
162,fa-en,ad,3,30.0,75.0,nan,nan,nan,nan,nan,nan,56.0,nan
163,fa-en,ad,3,100.0,100.0,nan,nan,nan,nan,nan,nan,77.0,nan
164,fa-en,ad,3,13.0,25.0,nan,nan,nan,nan,nan,nan,43.0,nan
165,fa-en,ad,3,19.0,63.0,nan,nan,nan,nan,nan,nan,42.0,nan
166,fa-en,ad,3,38.0,63.0,nan,nan,nan,nan,nan,nan,51.0,nan
167,fa-en,ad,3,36.0,61.0,nan,nan,nan,nan,nan,nan,47.0,nan
168,fa-en,ad,3,46.0,75.0,nan,nan,nan,nan,nan,nan,49.0,nan
169,fa-en,ad,3,20.0,25.0,nan,nan,nan,nan,nan,nan,27.0,nan
170,fa-en,ad,3,70.0,95.0,nan,nan,nan,nan,nan,nan,55.0,nan
171,fa-en,ad,3,0.0,0.0,nan,nan,nan,nan,nan,nan,34.0,nan
172,fa-en,ad,3,75.0,100.0,nan,nan,nan,nan,nan,nan,84.0,nan
173,fa-en,ad,3,19.0,25.0,nan,nan,nan,nan,nan,nan,50.0,nan
174,fa-en,ad,3,23.0,25.0,nan,nan,nan,nan,nan,nan,47.0,nan
175,fa-en,ad,3,36.0,48.0,nan,nan,nan,nan,nan,nan,28.0,nan
176,fa-en,ad,3,27.0,25.0,nan,nan,nan,nan,nan,nan,46.0,nan
177,fa-en,ad,3,35.0,25.0,nan,nan,nan,nan,nan,nan,50.0,nan
178,fa-en,ad,3,29.0,75.0,nan,nan,nan,nan,nan,nan,56.0,nan
179,fa-en,ad,3,44.0,75.0,nan,nan,nan,nan,nan,nan,46.0,nan
180,fa-en,ad,3,28.0,87.0,nan,nan,nan,nan,nan,nan,61.0,nan
181,fa-en,ad,3,0.0,25.0,nan,nan,nan,nan,nan,nan,25.0,nan
182,fa-en,ad,3,78.0,93.0,nan,nan,nan,nan,nan,nan,58.0,nan
183,fa-en,ad,3,54.0,77.0,nan,nan,nan,nan,nan,nan,53.0,nan
184,fa-en,ad,3,32.0,13.0,nan,nan,nan,nan,nan,nan,28.0,nan
185,fa-en,ad,3,38.0,89.0,nan,nan,nan,nan,nan,nan,52.0,nan
186,fa-en,ad,3,29.0,52.0,nan,nan,nan,nan,nan,nan,52.0,nan
187,fa-en,ad,3,67.0,100.0,nan,nan,nan,nan,nan,nan,72.0,nan
188,fa-en,ad,3,99.0,100.0,nan,nan,nan,nan,nan,nan,67.0,nan
189,fa-en,ad,3,100.0,100.0,nan,nan,nan,nan,nan,nan,87.0,nan
190,fa-en,ad,3,56.0,94.0,nan,nan,nan,nan,nan,nan,73.0,nan
191,fa-en,ad,3,21.0,8.0,nan,nan,nan,nan,nan,nan,43.0,nan
192,fa-en,ad,3,19.0,13.0,nan,nan,nan,nan,nan,nan,39.0,nan
193,fa-en,ad,3,25.0,75.0,nan,nan,nan,nan,nan,nan,71.0,nan
194,fa-en,ad,3,28.0,75.0,nan,nan,nan,nan,nan,nan,42.0,nan
195,fa-en,ad,3,33.0,75.0,nan,nan,nan,nan,nan,nan,70.0,nan
196,fa-en,ad,3,34.0,75.0,nan,nan,nan,nan,nan,nan,50.0,nan
197,fa-en,ad,3,40.0,25.0,nan,nan,nan,nan,nan,nan,25.0,nan
198,fa-en,ad,3,41.0,51.0,nan,nan,nan,nan,nan,nan,29.0,nan
199,fa-en,ad,3,100.0,100.0,nan,nan,nan,nan,nan,nan,89.0,nan
200,fa-en,ad,5,24.0,75.0,87.0,nan,nan,nan,74.0,nan,51.0,nan
201,fa-en,ad,5,100.0,100.0,83.0,nan,nan,nan,99.0,nan,92.0,nan
202,fa-en,ad,5,42.0,90.0,76.0,nan,nan,nan,85.0,nan,74.0,nan
203,fa-en,ad,5,75.0,100.0,100.0,nan,nan,nan,100.0,nan,93.0,nan
204,fa-en,ad,5,68.0,100.0,100.0,nan,nan,nan,100.0,nan,94.0,nan
205,fa-en,ad,5,34.0,100.0,67.0,nan,nan,nan,89.0,nan,77.0,nan
206,fa-en,ad,5,31.0,89.0,47.0,nan,nan,nan,67.0,nan,92.0,nan
207,fa-en,ad,5,70.0,92.0,58.0,nan,nan,nan,94.0,nan,70.0,nan
208,fa-en,ad,5,0.0,53.0,12.0,nan,nan,nan,45.0,nan,49.0,nan
209,fa-en,ad,5,21.0,12.0,45.0,nan,nan,nan,59.0,nan,49.0,nan
210,fa-en,ad,5,30.0,48.0,58.0,nan,nan,nan,57.0,nan,50.0,nan
211,fa-en,ad,5,34.0,96.0,85.0,nan,nan,nan,93.0,nan,72.0,nan
212,fa-en,ad,5,24.0,96.0,82.0,nan,nan,nan,91.0,nan,74.0,nan
213,fa-en,ad,5,74.0,100.0,52.0,nan,nan,nan,93.0,nan,94.0,nan
214,fa-en,ad,5,31.0,25.0,65.0,nan,nan,nan,70.0,nan,41.0,nan
215,fa-en,ad,5,36.0,91.0,96.0,nan,nan,nan,68.0,nan,49.0,nan
216,fa-en,ad,5,23.0,91.0,78.0,nan,nan,nan,74.0,nan,51.0,nan
217,fa-en,ad,5,33.0,25.0,63.0,nan,nan,nan,59.0,nan,30.0,nan
218,fa-en,ad,5,26.0,91.0,75.0,nan,nan,nan,72.0,nan,53.0,nan
219,fa-en,ad,5,22.0,95.0,57.0,nan,nan,nan,82.0,nan,82.0,nan
220,fa-en,ad,5,51.0,92.0,82.0,nan,nan,nan,66.0,nan,75.0,nan
221,fa-en,ad,5,44.0,96.0,56.0,nan,nan,nan,83.0,nan,73.0,nan
222,fa-en,ad,5,75.0,100.0,91.0,nan,nan,nan,99.0,nan,71.0,nan
223,fa-en,ad,5,24.0,94.0,67.0,nan,nan,nan,82.0,nan,68.0,nan
224,fa-en,ad,5,10.0,75.0,58.0,nan,nan,nan,55.0,nan,55.0,nan
225,fa-en,ad,5,35.0,100.0,95.0,nan,nan,nan,97.0,nan,31.0,nan
226,fa-en,ad,5,29.0,92.0,79.0,nan,nan,nan,77.0,nan,67.0,nan
227,fa-en,ad,5,37.0,95.0,85.0,nan,nan,nan,92.0,nan,86.0,nan
228,fa-en,ad,5,26.0,39.0,60.0,nan,nan,nan,45.0,nan,34.0,nan
229,fa-en,ad,5,30.0,51.0,60.0,nan,nan,nan,65.0,nan,27.0,nan
230,fa-en,ad,5,100.0,99.0,100.0,nan,nan,nan,100.0,nan,92.0,nan
231,fa-en,ad,5,73.0,34.0,100.0,nan,nan,nan,68.0,nan,71.0,nan
232,fa-en,ad,5,59.0,93.0,66.0,nan,nan,nan,72.0,nan,74.0,nan
233,fa-en,ad,5,61.0,76.0,63.0,nan,nan,nan,64.0,nan,59.0,nan
234,fa-en,ad,5,100.0,100.0,100.0,nan,nan,nan,100.0,nan,96.0,nan
235,fa-en,ad,3,100.0,100.0,nan,nan,nan,nan,nan,nan,94.0,nan
236,fa-en,ad,3,30.0,10.0,nan,nan,nan,nan,nan,nan,38.0,nan
237,fa-en,ad,3,70.0,87.0,nan,nan,nan,nan,nan,nan,78.0,nan
238,fa-en,ad,3,68.0,95.0,nan,nan,nan,nan,nan,nan,85.0,nan
239,fa-en,ad,3,34.0,87.0,nan,nan,nan,nan,nan,nan,67.0,nan
240,fa-en,ad,3,29.0,48.0,nan,nan,nan,nan,nan,nan,53.0,nan
241,fa-en,ad,3,100.0,100.0,nan,nan,nan,nan,nan,nan,81.0,nan
242,fa-en,ad,3,63.0,100.0,nan,nan,nan,nan,nan,nan,79.0,nan
243,fa-en,ad,3,43.0,100.0,nan,nan,nan,nan,nan,nan,81.0,nan
244,fa-en,ad,3,52.0,97.0,nan,nan,nan,nan,nan,nan,72.0,nan
245,fa-en,ad,3,41.0,92.0,nan,nan,nan,nan,nan,nan,60.0,nan
246,fa-en,ad,3,0.0,8.0,nan,nan,nan,nan,nan,nan,54.0,nan
247,fa-en,ad,3,99.0,100.0,nan,nan,nan,nan,nan,nan,74.0,nan
248,fa-en,ad,3,20.0,9.0,nan,nan,nan,nan,nan,nan,34.0,nan
249,fa-en,ad,3,39.0,89.0,nan,nan,nan,nan,nan,nan,66.0,nan
250,fa-en,ad,3,58.0,100.0,nan,nan,nan,nan,nan,nan,88.0,nan
251,fa-en,ad,3,53.0,94.0,nan,nan,nan,nan,nan,nan,69.0,nan
252,fa-en,ad,3,50.0,86.0,nan,nan,nan,nan,nan,nan,67.0,nan
253,fa-en,ad,3,43.0,26.0,nan,nan,nan,nan,nan,nan,66.0,nan
254,fa-en,ad,3,37.0,25.0,nan,nan,nan,nan,nan,nan,64.0,nan
255,fa-en,ad,3,0.0,64.0,nan,nan,nan,nan,nan,nan,54.0,nan
256,fa-en,ad,3,54.0,6.0,nan,nan,nan,nan,nan,nan,66.0,nan
257,fa-en,ad,3,100.0,100.0,nan,nan,nan,nan,nan,nan,64.0,nan
258,fa-en,ad,3,65.0,75.0,nan,nan,nan,nan,nan,nan,62.0,nan
259,fa-en,ad,3,34.0,95.0,nan,nan,nan,nan,nan,nan,54.0,nan
260,fa-en,ad,3,25.0,74.0,nan,nan,nan,nan,nan,nan,34.0,nan
261,fa-en,ad,3,42.0,90.0,nan,nan,nan,nan,nan,nan,56.0,nan
262,fa-en,ad,3,100.0,100.0,nan,nan,nan,nan,nan,nan,81.0,nan
263,fa-en,ad,3,37.0,95.0,nan,nan,nan,nan,nan,nan,82.0,nan
264,fa-en,ad,3,59.0,100.0,nan,nan,nan,nan,nan,nan,86.0,nan
265,fa-en,ad,3,30.0,63.0,nan,nan,nan,nan,nan,nan,59.0,nan
266,fa-en,ad,3,38.0,25.0,nan,nan,nan,nan,nan,nan,46.0,nan
267,fa-en,ad,3,35.0,11.0,nan,nan,nan,nan,nan,nan,34.0,nan
268,fa-en,ad,3,34.0,76.0,nan,nan,nan,nan,nan,nan,45.0,nan
269,fa-en,ad,3,52.0,91.0,nan,nan,nan,nan,nan,nan,72.0,nan
270,fa-en,ad,3,41.0,64.0,nan,nan,nan,nan,nan,nan,31.0,nan
271,fa-en,ad,3,54.0,88.0,nan,nan,nan,nan,nan,nan,63.0,nan
272,fa-en,ad,3,41.0,100.0,nan,nan,nan,nan,nan,nan,77.0,nan
273,fa-en,ad,3,21.0,26.0,nan,nan,nan,nan,nan,nan,54.0,nan
274,fa-en,ad,3,64.0,75.0,nan,nan,nan,nan,nan,nan,53.0,nan
275,fa-en,ad,3,54.0,95.0,nan,nan,nan,nan,nan,nan,56.0,nan
276,fa-en,ad,3,51.0,90.0,nan,nan,nan,nan,nan,nan,55.0,nan
277,fa-en,ad,3,23.0,52.0,nan,nan,nan,nan,nan,nan,55.0,nan
278,fa-en,ad,3,31.0,25.0,nan,nan,nan,nan,nan,nan,23.0,nan
279,fa-en,ad,3,44.0,100.0,nan,nan,nan,nan,nan,nan,53.0,nan
280,fa-en,ad,3,84.0,96.0,nan,nan,nan,nan,nan,nan,53.0,nan
281,fa-en,ad,3,52.0,93.0,nan,nan,nan,nan,nan,nan,53.0,nan
282,fa-en,ad,3,100.0,100.0,nan,nan,nan,nan,nan,nan,69.0,nan
283,fa-en,ad,3,50.0,92.0,nan,nan,nan,nan,nan,nan,73.0,nan
284,fa-en,ad,3,40.0,75.0,nan,nan,nan,nan,nan,nan,47.0,nan
285,fa-en,ad,3,19.0,94.0,nan,nan,nan,nan,nan,nan,66.0,nan
286,fa-en,ad,3,41.0,100.0,nan,nan,nan,nan,nan,nan,73.0,nan
287,fa-en,ad,3,100.0,100.0,nan,nan,nan,nan,nan,nan,87.0,nan
288,fa-en,ad,3,29.0,93.0,nan,nan,nan,nan,nan,nan,70.0,nan
289,fa-en,ad,3,31.0,83.0,nan,nan,nan,nan,nan,nan,57.0,nan
290,fa-en,ad,3,100.0,100.0,nan,nan,nan,nan,nan,nan,87.0,nan
291,fa-en,ad,5,33.0,6.0,47.0,52.0,nan,nan,nan,nan,27.0,nan
